,Name,Assigned_t,Rater,FLOW,t_var,t_LZ_guitar_zd,t_LZ_drum,t_var_drum,t_var_guitar_zd,t_LZ,IMPRO,Artist,Participant,Dance_mode,Music_mode,Palo,Condition,Pair
59,P10_D5_G5_M6_R1_T1,0.6,G5,5.0,53.596164810974955,0.050900250851832,0.0094130600890374,17.74100923756987,52.57828129673729,0.04113855890764507,,G,P10,D5,M6,R1,D5_M6,P10_G5
60,P10_D5_G5_M6_R1_T1,0.8,G5,4.333333333333333,55.07927387331548,0.17780224612626258,0.05857015166512175,20.451673857977063,51.849741491295084,0.13108557753622496,3.8,G,P10,D5,M6,R1,D5_M6,P10_G5
61,P10_D5_G5_M6_R1_T1,0.8,P10,4.0,55.07927387331548,0.17780224612626258,0.05857015166512175,20.451673857977063,51.849741491295084,0.13108557753622496,3.75,P,P10,D5,M6,R1,D5_M6,P10_G5
62,P10_D5_G5_M6_R1_T1,0.9,G5,4.5,54.68416570935915,0.2834376982365715,0.14224179690101005,22.150686176901104,53.221034842771296,0.16525149934087935,6.0,G,P10,D5,M6,R1,D5_M6,P10_G5
63,P10_D5_G5_M6_R1_T1,0.9,P10,4.0,54.68416570935915,0.2834376982365715,0.14224179690101005,22.150686176901104,53.221034842771296,0.16525149934087935,,P,P10,D5,M6,R1,D5_M6,P10_G5
64,P10_D5_G5_M6_R1_T1,1.0,G5,3.4,57.0765031737333,0.44901101159758894,0.2759856923327502,24.586041598498003,53.88257968194364,0.36358950262720013,3.0,G,P10,D5,M6,R1,D5_M6,P10_G5
65,P10_D5_G5_M6_R1_T1,1.0,P10,4.0,57.0765031737333,0.44901101159758894,0.2759856923327502,24.586041598498003,53.88257968194364,0.36358950262720013,2.0,P,P10,D5,M6,R1,D5_M6,P10_G5
66,P10_D5_G5_M6_R2_T1,0.1,P10,7.0,50.8311506940262,0.01589761259481872,0.0041835822617944,5.46064917529522,49.39439454331519,0.0041835822617944,1.0,P,P10,D5,M6,R2,D5_M6,P10_G5
67,P10_D5_G5_M6_R2_T1,0.9,P10,6.5,55.419357643667674,0.20290373969702907,0.1913988884770944,22.98849967793211,52.95133754284063,0.19286314226872245,2.0,P,P10,D5,M6,R2,D5_M6,P10_G5
68,P10_D5_G5_M6_R2_T1,1.0,P10,6.333333333333333,56.926877132584515,0.33810886507267407,0.20547586805057672,24.194564250945643,53.43518616549106,0.26398546370639137,3.8,P,P10,D5,M6,R2,D5_M6,P10_G5
69,P10_D6_G5_M6_R1_T1,0.2,G5,4.0,57.18427093175742,0.10598408396545844,0.19872015743523463,24.7442508344446,52.81531840084517,0.1861694106498514,,G,P10,D6,M6,R1,D6_M6,P10_G5
70,P10_D6_G5_M6_R1_T1,0.4,G5,4.0,57.542506088723506,0.4016238971322637,0.2579875728106555,24.818555592210895,53.85916616188268,0.38767862292628236,3.0,G,P10,D6,M6,R1,D6_M6,P10_G5
71,P10_D6_G5_M6_R1_T1,0.5,G5,2.0,56.801723453166694,0.23323471109503854,0.14956306585915025,24.575096882215764,53.93160360191106,0.18826120178074862,2.0,G,P10,D6,M6,R1,D6_M6,P10_G5
