,Name,t_%,y_var,t_0,file,Rater,Artist,Participant,Dance_mode,Music_mode,Palo,Condition,Assigned_%
2,P11_D5_G6_M6_R2_T1,0.1,1,9.929060959945678,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.1
3,P11_D5_G6_M6_R2_T1,0.2,6,3.79769095803833,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.2
4,P11_D5_G6_M6_R2_T1,0.2,1,9.76060008201599,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.2
5,P11_D5_G6_M6_R2_T1,0.2,1,9.929060959945678,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.2
6,P11_D5_G6_M6_R2_T1,0.30000000000000004,6,3.79769095803833,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.4
7,P11_D5_G6_M6_R2_T1,0.30000000000000004,1,9.76060008201599,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.4
8,P11_D5_G6_M6_R2_T1,0.30000000000000004,1,9.929060959945678,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.4
9,P11_D5_G6_M6_R2_T1,0.4,6,3.79769095803833,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.4
10,P11_D5_G6_M6_R2_T1,0.4,1,9.76060008201599,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.4
11,P11_D5_G6_M6_R2_T1,0.4,1,9.929060959945678,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.4
12,P11_D5_G6_M6_R2_T1,0.5,6,3.79769095803833,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.5
13,P11_D5_G6_M6_R2_T1,0.5,1,9.76060008201599,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.5
14,P11_D5_G6_M6_R2_T1,0.5,1,9.929060959945678,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.5
15,P11_D5_G6_M6_R2_T1,0.6,6,3.79769095803833,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.6
16,P11_D5_G6_M6_R2_T1,0.6,1,9.76060008201599,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.6
17,P11_D5_G6_M6_R2_T1,0.6,1,9.929060959945678,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.6
18,P11_D5_G6_M6_R2_T1,0.7000000000000001,6,3.79769095803833,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.8
19,P11_D5_G6_M6_R2_T1,0.7000000000000001,1,9.76060008201599,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.8
20,P11_D5_G6_M6_R2_T1,0.7000000000000001,1,9.929060959945678,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.8
21,P11_D5_G6_M6_R2_T1,0.8,6,3.79769095803833,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.8
22,P11_D5_G6_M6_R2_T1,0.8,1,9.76060008201599,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.8
23,P11_D5_G6_M6_R2_T1,0.8,1,9.929060959945678,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.8
