,Name,Assigned,Rater,FLOW,t_var,t_LZ_guitar_zd,t_LZ_drum,t_var_drum,t_var_guitar_zd,t_LZ,IMPRO,Artist,Participant,Dance_mode,Music_mode,Palo,Condition,Pair
283,P5_D6_G3_M6_R2_T1,0.4,G3,2.0,48.29671110678148,0.3423564817568428,0.2036010034073282,11.67347486176309,13.910993730326005,0.26565747362394526,2.6666666666666665,G,P5,D6,M6,R2,D6_M6,P5_G3
284,P5_D6_G3_M6_R2_T1,0.4,P5,1.0,48.29671110678148,0.3423564817568428,0.2036010034073282,11.67347486176309,13.910993730326005,0.26565747362394526,2.5,P,P5,D6,M6,R2,D6_M6,P5_G3
285,P5_D6_G3_M6_R2_T1,0.5,G3,4.0,43.82912079359563,0.06798321175415915,0.0041835822617944,2.6161001313882384,12.36885672625595,0.0062753733926916,1.0,G,P5,D6,M6,R2,D6_M6,P5_G3
286,P5_D6_G3_M6_R2_T1,0.5,P5,3.0,43.82912079359563,0.06798321175415915,0.0041835822617944,2.6161001313882384,12.36885672625595,0.0062753733926916,,P,P5,D6,M6,R2,D6_M6,P5_G3
287,P5_D6_G3_M6_R2_T1,0.6,G3,4.0,42.50953260853309,0.0073212689581402006,0.0041835822617944,-141.88148623581708,10.708664357008882,0.0041835822617944,,G,P5,D6,M6,R2,D6_M6,P5_G3
288,P5_D6_G3_M6_R2_T1,0.8,P5,2.0,44.39688945563735,0.05543246496877595,0.0041835822617944,5.96281699921369,12.005840181494005,0.0073212689581402006,2.5,P,P5,D6,M6,R2,D6_M6,P5_G3
289,P5_D6_G3_M6_R2_T1,0.9,G3,5.0,47.09876550101267,0.012550746785383201,0.0721667940159536,7.623162850143865,6.673915868727826,0.12899378640532777,3.0,G,P5,D6,M6,R2,D6_M6,P5_G3
290,P5_D6_G3_M6_R2_T1,1.0,G3,5.0,50.94817239669421,0.2526709370196251,0.3175600410593322,18.530093136884936,13.046004164390666,0.38562556866817954,5.0,G,P5,D6,M6,R2,D6_M6,P5_G3
291,P5_D6_G3_M6_R2_T1,1.0,P5,2.6666666666666665,50.94817239669421,0.2526709370196251,0.3175600410593322,18.530093136884936,13.046004164390666,0.38562556866817954,2.0,P,P5,D6,M6,R2,D6_M6,P5_G3
292,P6_D0_G1_M6_R1_T1,0.1,G1,7.0,51.50365538181131,0.14904011807642598,0.16995802938539806,15.812018789103728,17.546043167263605,0.0428817181833927,1.0,G,P6,D0,M6,R1,D0_M6,P6_G1
293,P6_D0_G1_M6_R1_T1,0.2,G1,7.0,52.27420664682874,0.17640771870566443,0.011156219364785067,12.953144598779929,19.51265484725,0.0481111960106357,,G,P6,D0,M6,R1,D0_M6,P6_G1
294,P6_D0_G1_M6_R1_T1,0.4,G1,7.0,52.74602368132645,0.28727264864321644,0.20708732195882348,15.241192849155496,20.28788605257372,0.09046996641130414,,G,P6,D0,M6,R1,D0_M6,P6_G1
295,P6_D0_G1_M6_R1_T1,0.5,G1,7.0,53.14374487871245,0.25031767199736576,0.025101493570766433,13.541675882467063,20.119726177544162,0.13248010495682308,,G,P6,D0,M6,R1,D0_M6,P6_G1
296,P6_D0_G1_M6_R1_T1,0.6,G1,7.0,54.12928978317186,0.29494254945650616,0.19662836630433747,16.508555618021827,20.14797735499249,0.373733348720301,,G,P6,D0,M6,R1,D0_M6,P6_G1
297,P6_D0_G1_M6_R1_T1,0.8,G1,7.0,53.2653988507839,0.20220647598673,0.19383931146314115,15.916500288941492,19.677124439053433,0.19244478404254298,1.5,G,P6,D0,M6,R1,D0_M6,P6_G1
298,P6_D0_G1_M6_R1_T1,0.9,G1,7.0,53.6989096519197,0.1589761259481877,0.1255074678538324,15.549240846317263,19.291903027740823,0.2914562309050108,,G,P6,D0,M6,R1,D0_M6,P6_G1
299,P6_D0_G1_M6_R1_T1,1.0,G1,7.0,53.7311092338919,0.12761233267929767,0.15510631235602787,16.09253634163026,19.29701205924419,0.34913224440045504,2.0,G,P6,D0,M6,R1,D0_M6,P6_G1
300,P6_D0_G1_M6_R2_T1,0.2,G1,7.0,53.56572076491523,0.14067295355283713,0.16995802938539806,14.339060439149765,20.011085611260917,0.1656698575670588,1.0,G,P6,D0,M6,R2,D0_M6,P6_G1
301,P6_D0_G1_M6_R2_T1,1.0,G1,1.0,54.290941606569525,0.24782049498838768,0.14944955781328761,13.525332162824554,20.57320371845126,0.27927636907191433,1.5,G,P6,D0,M6,R2,D0_M6,P6_G1
302,P6_D1_G1_M1_R1_T1,0.1,G1,7.0,52.13993476328801,0.0055781096823925335,0.011156219364785067,17.627290980887757,15.225642228254832,0.0062753733926916,2.0,G,P6,D1,M1,R1,D1_M1,P6_G1
303,P6_D1_G1_M1_R1_T1,0.1,P6,1.0,52.13993476328801,0.0055781096823925335,0.011156219364785067,17.627290980887757,15.225642228254832,0.0062753733926916,1.0,P,P6,D1,M1,R1,D1_M1,P6_G1
304,P6_D1_G1_M1_R1_T1,0.2,G1,7.0,52.79061011625311,0.02823918026711225,0.0146425379162804,15.53563377362193,18.065817734053976,0.0062753733926916,,G,P6,D1,M1,R1,D1_M1,P6_G1
305,P6_D1_G1_M1_R1_T1,0.2,P6,5.0,52.79061011625311,0.02823918026711225,0.0146425379162804,15.53563377362193,18.065817734053976,0.0062753733926916,,P,P6,D1,M1,R1,D1_M1,P6_G1
306,P6_D1_G1_M1_R1_T1,0.4,G1,7.0,55.45124543461852,0.3060987688212913,0.2363723977913844,21.73274870063025,20.210873439321904,0.17710498241596348,,G,P6,D1,M1,R1,D1_M1,P6_G1
307,P6_D1_G1_M1_R1_T1,0.4,P6,6.0,55.45124543461852,0.3060987688212913,0.2363723977913844,21.73274870063025,20.210873439321904,0.17710498241596348,,P,P6,D1,M1,R1,D1_M1,P6_G1
308,P6_D1_G1_M1_R1_T1,0.5,G1,7.0,55.93841423296174,0.12969105011562682,0.26670336918939397,22.282973894600225,19.48347220076582,0.2447395623149732,,G,P6,D1,M1,R1,D1_M1,P6_G1
309,P6_D1_G1_M1_R1_T1,0.6,G1,7.0,57.30243109076537,0.46228583992828276,0.3022638184146464,23.89314603829284,20.65446371176826,0.41522053948309556,3.0,G,P6,D1,M1,R1,D1_M1,P6_G1
310,P6_D1_G1_M1_R1_T1,0.8,G1,7.0,54.33328683445611,0.0076699008132897345,0.12481020414353333,20.17550336316771,16.37421433906883,0.06135920650631804,2.0,G,P6,D1,M1,R1,D1_M1,P6_G1
