,Name,Participant,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ,CTW,LZ_avg,var_entropy_avg,MIR_entropy_avg,MIR_novelty_avg,Condition,Pair,Condition_order
60,P5_D1_G3_M1_R1_T1,P5,7,7,7,7,7,7,7,7,7,4,4,1,7,6,7.0,7.0,5.5,6.0,5.75,D1,M1,R1,0.2277152688676533,0.2829191394611259,0.13433221168730503,49.82147728109416,0.686994837942742,0.38271982921929165,D1_M1,P5_D1,4.0
61,P5_D6_G3_M6_R2_T1,P5,2,5,6,6,6,6,6,6,6,6,4,2,5,5,7.0,7.0,5.0,5.666666666666667,5.333333333333334,D6,M6,R2,0.1901915389799789,0.219759290401289,0.12845147018620623,46.39364047320083,0.657396682204494,0.5952518631505884,D6_M6,P5_D6,0.0
62,P5_D5_G3_M6_R2_T1,P5,5,6,7,7,7,7,7,7,6,6,6,1,5,6,7.0,7.0,5.5,6.5,6.0,D5,M6,R2,0.1993807982646762,0.2324311614561925,0.13557905478037452,47.8138302764739,0.6586715129175226,0.662553791297086,D5_M6,P5_D5,1.0
63,P5_D1_G3_M6_R2_T1,P5,7,6,4,6,7,7,7,7,6,6,6,1,6,6,7.0,7.0,4.75,6.333333333333333,5.541666666666666,D1,M6,R2,0.2163235795264323,0.258267118792621,0.1322011994727035,47.50340261482322,0.6745240154061739,0.48841107568487646,D1_M6,P5_D1,2.0
64,P5_D5_G3_M5_R2_T1,P5,5,4,6,6,6,6,6,6,5,4,4,3,5,5,4.0,4.0,5.25,5.166666666666667,5.208333333333334,D5,M5,R2,0.2669680635100933,0.3020643025832084,0.15752096690060705,48.03351183174057,0.6963742175706752,0.44754850956638137,D5_M5,P5_D5,3.0
65,P5_D1_G3_M1_R2_T1,P5,7,6,4,6,7,7,7,6,6,6,4,1,6,6,7.0,7.0,4.5,6.0,5.25,D1,M1,R2,0.1820979891582197,0.2112683161174714,0.12004028648898743,45.65390434786149,0.6782380324387051,0.4932002381077627,D1_M1,P5_D1,4.0
66,P6_D6_G1_M6_R1_T1,P6,3,6,4,5,6,3,5,6,4,6,7,1,5,5,7.0,7.0,4.25,5.0,4.625,D6,M6,R1,0.4305036345953487,0.454477576405441,0.1931420477528421,54.980784936438205,0.741795135778956,0.4933312325333617,D6_M6,P6_D6,0.0
67,P6_D5_G1_M6_R1_T1,P6,5,6,4,6,7,6,6,6,5,4,6,1,6,6,7.0,7.0,4.5,5.5,5.0,D5,M6,R1,0.4087686412661387,0.4365298301816184,0.18022087962136246,54.984298233078704,0.7366188900131234,0.4951522805703631,D5_M6,P6_D5,1.0
68,P6_D1_G1_M6_R1_T1,P6,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,0.4521783774864642,0.1788481416917112,54.87331036546202,0.7342613134378349,0.5046561606126414,D1_M6,P6_D1,2.0
69,P6_D5_G1_M5_R1_T1,P6,7,6,7,6,7,7,6,7,6,2,7,1,6,6,7.0,7.0,5.5,5.666666666666667,5.583333333333334,D5,M5,R1,0.4196534647937633,0.4526816998128957,0.16835312067289931,54.582916246247066,0.7435329622965742,0.4719063740219027,D5_M5,P6_D5,3.0
70,P6_D1_G1_M1_R1_T1,P6,7,6,7,6,6,7,6,6,6,5,7,1,5,5,7.0,7.0,5.0,6.166666666666667,5.583333333333334,D1,M1,R1,0.4316768109915129,0.4540693506079754,0.18292352786052815,54.60613375442808,0.7430844901532385,0.46822174382671805,D1_M1,P6_D1,4.0
71,P6_D6_G1_M6_R2_T1,P6,5,5,6,5,5,5,6,6,4,4,5,1,5,6,7.0,7.0,4.5,4.833333333333333,4.666666666666666,D6,M6,R2,0.4070025691001354,0.4290813621753409,0.18926351836430355,54.94054688449311,0.7266770910226983,0.356758954961095,D6_M6,P6_D6,0.0
72,P6_D5_G1_M6_R2_T1,P6,7,6,6,6,7,7,2,6,6,4,6,1,6,6,7.0,7.0,5.0,5.166666666666667,5.083333333333334,D5,M6,R2,0.4330572553794659,0.4579882861866292,0.1964610230138657,54.74633116211557,0.7269585547477762,0.41453296851011745,D5_M6,P6_D5,1.0
73,P6_D1_G1_M6_R2_T1,P6,7,5,7,6,7,6,5,6,6,2,6,1,6,6,7.0,7.0,5.25,5.166666666666667,5.208333333333334,D1,M6,R2,0.4275020635374809,0.4522477650112617,0.18796237447633476,55.03350284037349,0.7283014996274556,0.3706726517779954,D1_M6,P6_D1,2.0
74,P6_D1_G1_M1_R2_T1,P6,7,6,7,6,7,7,2,7,7,3,6,1,6,6,7.0,7.0,5.5,5.166666666666667,5.333333333333334,D1,M1,R2,0.4458327276101986,0.4661779226526266,0.18831222107662415,54.37262995279242,0.7194445798022662,0.43626232105633,D1_M1,P6_D1,4.0
75,P6_D0_G1_M6_R1_T1,G1,2,4,2,7,5,7,7,7,7,6,6,1,7,7,,,3.75,6.666666666666667,5.208333333333334,D0,M6,R1,0.4701508364718156,0.4857107838208633,0.21028653192372507,53.07937038312416,0.7149622179200252,0.2708571094124693,D0_M6,P6_D0,
76,P6_D6_G1_M6_R1_T1,G1,2,4,2,7,5,7,7,7,7,6,6,1,7,7,7.0,7.0,3.75,6.666666666666667,5.208333333333334,D6,M6,R1,0.4305036345953487,0.454477576405441,0.1931420477528421,54.980784936438205,0.741795135778956,0.4933312325333617,D6_M6,P6_D6,0.0
77,P6_D5_G1_M6_R1_T1,G1,4,4,4,5,4,5,4,6,5,4,4,2,5,5,5.0,5.0,4.0,4.5,4.25,D5,M6,R1,0.4087686412661387,0.4365298301816184,0.18022087962136246,54.984298233078704,0.7366188900131234,0.4951522805703631,D5_M6,P6_D5,1.0
78,P6_D1_G1_M6_R1_T1,G1,3,4,3,7,4,7,7,7,7,5,6,1,7,7,7.0,7.0,3.75,6.5,5.125,D1,M6,R1,0.4234811694314264,0.4521783774864642,0.1788481416917112,54.87331036546202,0.7342613134378349,0.5046561606126414,D1_M6,P6_D1,2.0
79,P6_D5_G1_M5_R1_T1,G1,6,6,4,4,4,6,6,7,6,2,5,1,6,6,7.0,7.0,4.0,4.833333333333333,4.416666666666666,D5,M5,R1,0.4196534647937633,0.4526816998128957,0.16835312067289931,54.582916246247066,0.7435329622965742,0.4719063740219027,D5_M5,P6_D5,3.0
80,P6_D1_G1_M1_R1_T1,G1,7,7,7,7,6,7,7,7,7,2,7,1,7,7,7.0,7.0,5.25,6.166666666666667,5.708333333333334,D1,M1,R1,0.4316768109915129,0.4540693506079754,0.18292352786052815,54.60613375442808,0.7430844901532385,0.46822174382671805,D1_M1,P6_D1,4.0
81,P6_D0_G1_M6_R2_T1,G1,1,1,1,7,6,7,7,7,7,7,7,1,7,7,,,3.75,7.0,5.375,D0,M6,R2,0.4594999068852529,0.4739806463771012,0.20512904941074953,53.68299930911925,0.7129920109765371,0.26151654430801147,D0_M6,P6_D0,
82,P6_D6_G1_M6_R2_T1,G1,2,2,2,6,4,2,6,6,6,5,5,1,6,5,6.0,6.0,3.25,5.0,4.125,D6,M6,R2,0.4070025691001354,0.4290813621753409,0.18926351836430355,54.94054688449311,0.7266770910226983,0.356758954961095,D6_M6,P6_D6,0.0
83,P6_D5_G1_M6_R2_T1,G1,3,3,3,5,4,3,5,5,5,3,5,5,4,4,5.0,5.0,4.25,4.333333333333333,4.291666666666666,D5,M6,R2,0.4330572553794659,0.4579882861866292,0.1964610230138657,54.74633116211557,0.7269585547477762,0.41453296851011745,D5_M6,P6_D5,1.0
84,P6_D1_G1_M6_R2_T1,G1,2,2,2,6,5,6,6,6,6,5,6,2,6,5,6.0,6.0,3.75,5.833333333333333,4.791666666666666,D1,M6,R2,0.4275020635374809,0.4522477650112617,0.18796237447633476,55.03350284037349,0.7283014996274556,0.3706726517779954,D1_M6,P6_D1,2.0
