Label: FSR adapter 16: FSR.A 16 Sampling frequency: 5.185185e+002 Number of points: 56721 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.B 16 Sampling frequency: 5.185185e+002 Number of points: 56721 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.C 16 Sampling frequency: 5.185185e+002 Number of points: 56721 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.D 16 Sampling frequency: 5.185185e+002 Number of points: 56721 X start: 0.000000e+000 Unit: % Domain Unit: s
Start Trigger Method: Trigno Wireless System (start trigger)
Stop Trigger Method: Trigno Wireless System (stop trigger)
Use Camera: NO
Video File Path: 
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
X [s],FSR adapter 16: FSR.A 16 [%],FSR adapter 16: FSR.B 16 [%],FSR adapter 16: FSR.C 16 [%],FSR adapter 16: FSR.D 16 [%]
3.567857e-001,6.438376e-001,3.598501e+000,1.489346e+001,-1.154917e-002
3.587143e-001,6.422882e-001,3.598501e+000,1.489346e+001,-9.999795e-003
3.606429e-001,6.438376e-001,3.600050e+000,1.489346e+001,-1.154917e-002
3.625714e-001,6.422882e-001,3.600050e+000,1.489191e+001,-9.999795e-003
3.645000e-001,6.438376e-001,3.601599e+000,1.489346e+001,-9.999795e-003
3.664286e-001,6.438376e-001,3.601599e+000,1.489501e+001,-1.154917e-002
3.683571e-001,6.453869e-001,3.601599e+000,1.489346e+001,-1.309855e-002
3.702857e-001,6.438376e-001,3.604698e+000,1.489346e+001,-8.450417e-003
3.722143e-001,6.438376e-001,3.603149e+000,1.489037e+001,-9.999795e-003
3.741429e-001,6.469364e-001,3.603149e+000,1.489191e+001,-1.154917e-002
3.760714e-001,6.438376e-001,3.601599e+000,1.488882e+001,-1.309855e-002
3.780000e-001,6.422882e-001,3.603149e+000,1.489191e+001,-9.999795e-003
3.799286e-001,6.438376e-001,3.603149e+000,1.489191e+001,-1.154917e-002
3.818571e-001,6.422882e-001,3.606248e+000,1.489346e+001,-9.999795e-003
3.837857e-001,6.438376e-001,3.603149e+000,1.489346e+001,-1.154917e-002
3.857143e-001,6.453869e-001,3.603149e+000,1.489656e+001,-9.999795e-003
3.876429e-001,6.438376e-001,3.603149e+000,1.489656e+001,-1.154917e-002
3.895714e-001,6.453869e-001,3.601599e+000,1.489501e+001,-1.154917e-002
3.915000e-001,6.469364e-001,3.603149e+000,1.489501e+001,-9.999795e-003
3.934286e-001,6.453869e-001,3.601599e+000,1.489346e+001,-9.999795e-003
3.953571e-001,6.453869e-001,3.601599e+000,1.489501e+001,-9.999795e-003
3.972857e-001,6.453869e-001,3.601599e+000,1.489501e+001,-9.999795e-003
3.992143e-001,6.469364e-001,3.600050e+000,1.489346e+001,-9.999795e-003
4.011429e-001,6.469364e-001,3.603149e+000,1.489191e+001,-1.154917e-002
4.030714e-001,6.469364e-001,3.606248e+000,1.489346e+001,-1.154917e-002
4.050000e-001,6.469364e-001,3.606248e+000,1.489346e+001,-8.450417e-003
4.069286e-001,6.453869e-001,3.607797e+000,1.489501e+001,-1.154917e-002
4.088571e-001,6.453869e-001,3.609346e+000,1.489501e+001,-9.999795e-003
4.107857e-001,6.438376e-001,3.607797e+000,1.489501e+001,-9.999795e-003
4.127143e-001,6.453869e-001,3.609346e+000,1.489501e+001,-1.154917e-002
4.146429e-001,6.453869e-001,3.607797e+000,1.489346e+001,-1.154917e-002
4.165714e-001,6.453869e-001,3.609346e+000,1.489346e+001,-1.154917e-002
4.185000e-001,6.453869e-001,3.609346e+000,1.489501e+001,-1.154917e-002
4.204286e-001,6.438376e-001,3.610896e+000,1.489501e+001,-9.999795e-003
4.223571e-001,6.453869e-001,3.609346e+000,1.489501e+001,-1.154917e-002
4.242857e-001,6.469364e-001,3.610896e+000,1.489346e+001,-9.999795e-003
4.262143e-001,6.469364e-001,3.612445e+000,1.489191e+001,-1.154917e-002
4.281429e-001,6.453869e-001,3.610896e+000,1.489191e+001,-1.154917e-002
4.300714e-001,6.438376e-001,3.612445e+000,1.489191e+001,-1.154917e-002
4.320000e-001,6.422882e-001,3.610896e+000,1.489191e+001,-9.999795e-003
4.339286e-001,6.422882e-001,3.612445e+000,1.489191e+001,-9.999795e-003
4.358571e-001,6.422882e-001,3.613995e+000,1.489191e+001,-9.999795e-003
4.377857e-001,6.422882e-001,3.613995e+000,1.489501e+001,-1.154917e-002
4.397143e-001,6.438376e-001,3.612445e+000,1.489501e+001,-1.154917e-002
4.416429e-001,6.453869e-001,3.610896e+000,1.489501e+001,-1.154917e-002
4.435714e-001,6.469364e-001,3.612445e+000,1.489346e+001,-1.154917e-002
4.455000e-001,6.469364e-001,3.610896e+000,1.489501e+001,-8.450417e-003
4.474286e-001,6.453869e-001,3.610896e+000,1.489501e+001,-1.309855e-002
4.493571e-001,6.438376e-001,3.609346e+000,1.489346e+001,-1.154917e-002
4.512857e-001,6.453869e-001,3.609346e+000,1.489191e+001,-1.154917e-002
4.532143e-001,6.438376e-001,3.612445e+000,1.489191e+001,-9.999795e-003
4.551429e-001,6.422882e-001,3.615544e+000,1.489191e+001,-1.154917e-002
