Name,Participant,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Q4c,Q5a,Q5b,Q6a,Q6b
P11_D6_G6_M6_R1_T1,P11,7,4,4,4,4,4,2,4,4,3,2,1,1,1,4,4,2,4,4,1,1
P11_D5_G6_M6_R1_T1,P11,7,5,5,4,1,3,4,5,5,4,4,1,4,4,5,5,4,5,4,3,4
P11_D1_G6_M6_R1_T1,P11,6,6,2,7,1,1,5,4,6,2,4,1,4,4,6,6,6,4,3,2,4
P11_D5_G6_M5_R1_T1,P11,7,6,1,4,1,1,6,5,4,2,1,1,6,4,6,6,6,6,6,3,2
P11_D1_G6_M1_R1_T2,P11,5,4,4,4,4,4,2,4,5,5,1,5,1,1,4,4,4,4,4,4,4
P11_D6_G6_M6_R1_T2,P11,5,4,4,4,4,4,4,6,4,4,1,1,1,1,1,4,6,4,4,5,2
W_P11_D6_G6_M6_R2_T1,P11,2,6,4,1,4,4,3,1,1,4,4,1,1,1,4,7,4,7,6,4,1
P11_D6_G6_M6_R2_T1,P11,3,4,4,3,1,4,1,7,1,4,4,1,1,1,4,4,5,6,4,3,4
P11_D5_G6_M6_R2_T1,P11,7,5,6,6,1,1,3,7,6,1,4,1,4,4,4,6,7,7,6,4,4
P11_D1_G6_M6_R2_T1,P11,7,6,5,4,1,1,4,7,4,4,1,1,3,3,4,5,6,5,5,3,4
P11_D5_G6_M5_R2_T1,P11,7,6,5,7,4,4,3,4,6,2,1,1,4,4,5,5,5,7,5,4,4
P11_D1_G6_M1_R2_T1,P11,4,6,4,4,4,1,7,7,6,4,4,1,5,5,5,6,7,6,5,4,4
P11_D6_G6_M6_R2_T2,P11,3,4,4,4,4,4,4,4,4,5,4,4,4,4,6,6,5,4,4,5,4
W_P10_D6_G5_M6_R1_T1,G5,3,4,4,5,3,3,5,5,5,5,5,3,5,5,5,5,5,5,5,4,4
P10_D0_G5_M6_R1_T1,G5,3,5,5,5,3,3,5,5,5,5,6,3,5,5,,,6,6,5,5,5
P10_D6_G5_M6_R1_T1,G5,3,5,5,5,3,3,5,5,5,5,4,3,5,5,4,3,4,5,4,5,5
P10_D5_G5_M6_R1_T1,G5,2,3,4,5,4,5,5,5,5,3,4,4,3,3,4,5,5,3,4,3,5
P10_D1_G5_M6_R1_T1,G5,3,3,4,5,3,5,4,5,5,3,4,3,3,3,4,4,4,3,5,5,5
P10_D5_G5_M5_R1_T1,G5,6,6,5,6,3,6,5,6,5,3,5,2,6,6,6,6,6,6,6,5,5
P10_D1_G5_M1_R1_T1,G5,7,7,7,7,3,3,5,5,5,2,5,2,6,6,6,6,6,6,6,6,6
P10_D6_G5_M6_R1_T2,G5,3,3,3,5,3,3,2,2,5,5,4,4,3,3,5,5,3,3,3,5,5
W_P10_D6_G5_M6_R2_T1,G5,2,4,3,5,4,4,3,4,4,3,3,4,4,3,3,5,4,5,4,4,5
P10_D0_G5_M6_R2_T1,G5,3,3,4,3,5,3,3,3,3,3,3,5,3,2,3,5,3,5,3,5,5
P10_D6_G5_M6_R2_T1,G5,3,3,5,3,5,3,3,4,4,4,3,4,3,4,4,5,4,4,4,5,5
P10_D5_G5_M6_R2_T1,G5,3,4,5,5,4,3,4,5,4,4,3,3,4,4,3,4,4,5,5,4,5
P10_D1_G5_M6_R2_T1,G5,5,5,5,5,3,4,4,5,4,3,3,3,4,5,4,5,4,3,4,5,5
